stid,station_name,lat,lon,elev,begints,iem_network
ILE,KILLEEN MUNI (AWOS),31.08583,-97.6865,258,3/1/48 7:00,TX_ASOS
IKG,Kingsville,27.5509,-98.0309,39.11497,11/16/16 8:15,TX_ASOS
NQI,KINGSVILLE NAS,27.5072,-97.8097,15,8/1/51 1:00,TX_ASOS
RYW,Lago Vista,30.4967,-97.96589,375.2,4/30/08 19:05,TX_ASOS
3T5,LA GRANGE/FAYETTE REGIONAL,29.91,-96.95,99,12/1/01 0:06,TX_ASOS
2F5,Lamesa,32.7479,-101.9018,902.6335,9/29/17 13:55,TX_ASOS
LUV,Lamesa,32.7563,-101.9202,911.5796,9/9/18 11:55,TX_ASOS
LZZ,Lampasas,31.10619,-98.19589,370.3,8/1/09 0:15,TX_ASOS
LNC,LANCASTER,32.57919,-96.71905,153,10/1/03 0:05,TX_ASOS
LRD,LAREDO INTL AIRPORT,27.5438,-99.46153,155,1/1/48 0:00,TX_ASOS
T70,Laughlin AFB,29.126,-100.481,297.54962,4/22/16 15:58,TX_ASOS
DLF,LAUGHLIN AFB,29.35949,-100.77797,330,7/1/53 0:00,TX_ASOS
AQO,LLANO_MUNI_ARPT,30.78361,-98.66194,336,7/1/04 0:05,TX_ASOS
GGG,LONGVIEW/GREGG CO.,32.38401,-94.71149,124,9/1/50 1:00,TX_ASOS
LBB,LUBBOCK INTL ARPT,33.66364,-101.82278,988,1/1/48 0:00,TX_ASOS
LFK,LUFKIN/ANGELINA CO.,31.23401,-94.75,88,8/1/48 7:00,TX_ASOS
MRF,MARFA MUNI (AMOS),30.37,-104.02,1481,8/1/48 0:00,TX_ASOS
ASL,Marshall,32.5205,-94.30778,108.8,5/20/11 7:55,TX_ASOS
5T9,Maverick County,28.8571,-100.5135,267.38416,8/27/15 11:00,TX_ASOS
MFE,MCALLEN/MILLER INTL,26.17583,-98.23861,33,1/1/73 0:00,TX_ASOS
PWG,MC GREGOR (AWOS),31.48492,-97.31653,180,5/1/92 5:00,TX_ASOS
TKI,MC KINNEY,33.18,-96.59,179,4/30/98 0:53,TX_ASOS
NMT,McMullen,28.2361,-98.7242,89.30641,11/21/14 9:58,TX_ASOS
HQZ,MESQUITE,32.74696,-96.53042,136,8/1/03 0:05,TX_ASOS
LXY,Mexia Limestone,31.6412,-96.5145,166.28955,8/30/13 9:35,TX_ASOS
MDD,MIDLAND,32.03653,-102.10103,854,11/1/04 0:05,TX_ASOS
MAF,MIDLAND REGIONAL,31.9425,-102.18917,872,7/1/48 1:00,TX_ASOS
JWY,MIDLOTHIAN/WAXAC,32.45611,-96.9125,217,8/1/03 0:05,TX_ASOS
JDD,MINEOLA/QUITMAN,32.7422,-95.49648,132,7/1/04 0:05,TX_ASOS
MWL,MINERAL WELLS MUNI,32.78161,-98.06018,296,4/1/48 0:00,TX_ASOS
OSA,MOUNT PLEASANT AIRPORT,33.09556,-94.96139,111,3/1/03 0:05,TX_ASOS
MIU,Mustang Island 31,27.2917,-96.7367,0,5/14/10 8:15,TX_ASOS
MZG,Mustang Island A85A,27.7269,-96.1911,0,5/14/10 8:15,TX_ASOS
OCH,NACOGDOCHES (AWOS),31.57778,-94.70944,108,4/1/92 0:00,TX_ASOS
BAZ,NEW BRAUNFELS MUNI APT (WAS 3R5),29.709,-98.045,195,11/1/98 1:51,TX_ASOS
OPM,North Padre Island,26.8328,-96.94,3,9/24/10 7:15,TX_ASOS
ODO,ODESSA-SCHLEMEYER FLD (WAS E02),31.92056,-102.38667,915,12/1/98 12:53,TX_ASOS
ORG,Orange,30.06918,-93.80361,4,9/1/05 0:05,TX_ASOS
NOG,ORANGE GROVE    ,27.90113,-98.05167,78,1/1/48 0:00,TX_ASOS
OZA,Ozona,30.73528,-101.20297,725.7,1/1/10 0:05,TX_ASOS
PSX,PALACIOS MUNICIPAL,28.73,-96.25,5,5/1/49 1:00,TX_ASOS
PSN,PALESTINE,31.77969,-95.70631,129,12/1/03 0:05,TX_ASOS
BPC,Pampa ,35.88928,-101.03014,845,4/1/09 0:08,TX_ASOS
PPA,PAMPA,35.613,-100.99625,1050,11/19/03 14:28,TX_ASOS
PRX,PARIS/COX FIELD,33.63661,-95.45075,167,2/1/73 8:00,TX_ASOS
PEQ,PECOS,31.38,-103.51,796,3/1/04 0:05,TX_ASOS
PYX,PERRYTON/OCHILTREE COUNTY APT,36.414,-100.75,889,2/1/03 0:05,TX_ASOS
25T,PHI OIL PLAT,26.93,-94.68,10,2/28/10 4:45,TX_ASOS
PVW,PLAINVIEW,34.16815,-101.71734,1028,1/1/73 6:00,TX_ASOS
PEZ,Pleasanton,28.95419,-98.51998,131.1,2/1/07 0:07,TX_ASOS
RAS,PORT ARANSAS/MUSTANG BEACH ARPT,27.81,-97.09,2,1/1/05 0:05,TX_ASOS
PIL,PORT ISABEL-CAMERON COUNTY APT,26.1597,-97.33781,6,11/1/57 8:00,TX_ASOS
PKV,PORT_LAVACA,28.654,-96.681,9,5/1/04 0:05,TX_ASOS
T77,Presidio,29.6341,-104.3616,889.2204,5/5/13 18:35,TX_ASOS
PRS,Presidio Lely,29.6342,-104.3615,888.8645,7/4/13 10:15,TX_ASOS
RND,RANDOLPH AFB,29.53,-98.28,232,1/1/48 0:00,TX_ASOS
6P9,Ranger,32.43172,-98.59475,455.30667,12/25/16 9:15,TX_ASOS
RBO,ROBSTOWN,27.77854,-97.69052,24,11/1/03 0:05,TX_ASOS
RKP,ROCKPORT/ARANSAS CO,28.08361,-97.04639,8,1/1/84 12:00,TX_ASOS
ECU,ROCKSPRINGS,29.94692,-100.17385,723,12/1/04 0:05,TX_ASOS
F46,Rockwall,32.93059,-96.43549,178.25653,8/27/12 9:55,TX_ASOS
RPE,SABINE PASS,29.7,-93.95,3,10/1/86 6:00,TX_ASOS
SJT,SAN ANGELO/MATHIS,31.35167,-100.495,582,7/1/48 7:00,TX_ASOS
5C1,San Antonio ,29.72393,-98.69464,422.1,5/12/10 8:05,TX_ASOS
SAT,SAN ANTONIO INTL,29.53369,-98.46978,242,1/1/47 0:00,TX_ASOS
SSF,SAN ANTONIO/STINSON,29.33698,-98.47105,176,1/31/88 7:00,TX_ASOS
HYI,SAN MARCOS (AWOS),29.89275,-97.863,182,4/8/92 10:00,TX_ASOS
SEQ,Seguin Randolph AFB ,29.5658,-97.9083,161.40836,,TX_ASOS
GNC,Seminole,32.67533,-102.65267,1010,5/1/04 0:05,TX_ASOS
F39,SHERMAN-DENISON,33.71667,-96.66667,228,10/1/82 7:00,TX_ASOS
GYI,SHERMAN/DENISON,33.71411,-96.67367,228,10/1/82 7:00,TX_ASOS
SNK,SNYDER,32.69339,-100.95047,741,7/31/03 0:05,TX_ASOS
SOA,SONORA MUNI,30.58569,-100.64856,652,10/31/04 0:05,TX_ASOS
SPL,South Padre Island,26.0706,-97.1572,3,6/28/10 7:55,TX_ASOS
SEP,STEPHENVILLE/CLARK,32.21533,-98.17767,402,11/1/83 0:00,TX_ASOS
SLR,SULPHUR_SPRINGS,33.16,-95.62,149,10/31/04 0:05,TX_ASOS
SWW,SWEETWATER/AVENGER FIELD AIRPORT,32.46736,-100.46656,727,4/30/02 9:05,TX_ASOS
T74,Taylor,30.5726,-97.4432,174.38675,,TX_ASOS
TPL,TEMPLE/MILLER(AWOS),31.1525,-97.40778,208,3/31/52 0:00,TX_ASOS
TRL,TERRELL,32.71,-96.27,145,5/31/97 0:53,TX_ASOS
TYR,TYLER/POUNDS FLD,32.35414,-95.40239,166,7/1/48 1:00,TX_ASOS
UVA,UVALDE/GARNER_FIELD_ARPT,29.21133,-99.74358,287,10/31/03 0:04,TX_ASOS
F05,VERNON,34.22567,-99.28375,386,7/1/03 0:05,TX_ASOS
VCT,VICTORIA REGIONAL,28.8614,-96.9303,36,2/14/53 0:00,TX_ASOS
ACT,Waco,31.61797,-97.2283,155,7/1/48 7:00,TX_ASOS
CNW,Waco,31.63781,-97.07414,143,1/1/49 0:00,TX_ASOS
TXW,Weslaco,26.1775,-97.9731,21.301573,8/2/18 10:55,TX_ASOS
T65,WESLACO/MID VALLEY AIRPORT,26.17764,-97.97306,21,9/30/02 0:10,TX_ASOS
CRH,West Cameron,28.9086,-93.3016,0,8/16/10 12:35,TX_ASOS
ARM,WHARTON REGIONAL ARPT,29.25428,-96.15439,30,2/1/05 13:44,TX_ASOS
SPS,WICHITA FALLS/SHEP,33.9786,-98.4928,314,1/1/47 0:00,TX_ASOS
INK,WINK/WINKLER CO.,31.78,-103.2,859,1/1/48 0:00,TX_ASOS
APY,Zapata,26.96879,-99.24891,128.6,12/1/08 0:03,TX_ASOS
VKY,Zapata-Yorktowntlat,29.248,-88.441,0,1/6/11 18:15,TX_ASOS
MMI,Athens ,35.3973,-84.5626,245.04639,10/17/13 7:55,TN_ASOS
M08,Bolivar,35.2145,-89.0434,149.5601,8/30/16 22:40,TN_ASOS
TRI,BRISTOL/TRI-CITY,36.47522,-82.40742,463,1/1/48 5:00,TN_ASOS
CHA,CHATTANOOGA/LOVELL,35.03528,-85.20381,210,1/1/48 5:00,TN_ASOS
CKV,CLARKSVILLE/OUTLAW,36.62188,-87.41495,168,1/1/74 17:00,TN_ASOS
RZR,Cleveland,35.2115,-84.7998,242.88419,11/19/13 7:55,TN_ASOS
MRC,Columbia,35.5544,-87.1791,200.75005,1/1/48 6:00,TN_ASOS
M04,Covington,35.5834,-89.5872,81.61184,5/10/17 10:35,TN_ASOS
CSV,CROSSVILLE MEMORIAL,35.95129,-85.08498,573,5/1/54 1:00,TN_ASOS
2A0,Dayton,35.4817,-84.9322,214.8747,5/11/17 10:35,TN_ASOS
M02,Dickson,36.12794,-87.42983,263.07953,9/10/10 14:45,TN_ASOS
DYR,DYERSBURG(AWOS),35.99797,-89.40658,103,1/1/49 0:00,TN_ASOS
0A9,Elizabethton,36.37122,-82.17342,486,4/1/09 13:35,TN_ASOS
UCY,Everett-Stewart ,36.3797,-88.9857,97.541595,1/1/49 0:00,TN_ASOS
FYM,Fayetteville,35.0597,-86.564,296.9594,5/31/14 13:55,TN_ASOS
M33,Gallatin,36.3768,-86.4088,165.6646,5/22/16 0:55,TN_ASOS
GCY,Greenville,36.19601,-82.81099,487.0846,4/23/18 9:15,TN_ASOS
HZD,Huntingdon,36.089,-88.4654,142.96805,12/1/10 0:15,TN_ASOS
JAU,Jacksboro,36.3341,-84.163,349.91208,6/9/15 10:35,TN_ASOS
MKL,JACKSON/MCKELLAR,35.59306,-88.91667,132,1/1/49 0:00,TN_ASOS
JWN,John C Tune,36.1824,-86.8867,146.24023,12/10/15 20:35,TN_ASOS
DKX,Knoxville Downtown,35.9638,-83.8737,251.1181,5/22/16 0:55,TN_ASOS
TYS,KNOXVILLE MUNICIPAL,35.8181,-83.9858,299,12/31/47 23:00,TN_ASOS
2M2,Lawrenceburg,35.2343,-87.2579,281.34207,7/18/18 14:35,TN_ASOS
M54,Lebanon,36.1904,-86.3157,179,9/18/10 20:45,TN_ASOS
PVE,Levington - Parson Beech River,35.6564,-88.1954,153.90102,3/8/14 15:35,TN_ASOS
LUG,Lewisburg-Ellington,35.5136,-86.803,213.60791,4/10/18 10:15,TN_ASOS
8A3,Livingston,36.4121,-85.3116,409.92133,4/9/18 9:35,TN_ASOS
MNV,Madisonville,35.5452,-84.3804,306.08548,5/22/16 12:55,TN_ASOS
RNC,Mc Minnville,35.69871,-85.84382,308.85165,3/22/14 10:55,TN_ASOS
MEM,MEMPHIS INTL ARPT,35.06111,-89.985,87,10/1/46 0:00,TN_ASOS
NQA,MEMPHIS NAS,35.35667,-89.87028,98,7/1/49 2:00,TN_ASOS
MOR,Morristown Moore-Murrell,36.1794,-83.3754,392.4397,4/17/14 10:35,TN_ASOS
MBT,Murfreesboro ,35.8775,-86.3775,186.75363,4/11/18 7:55,TN_ASOS
BNA,NASHVILLE METRO,36.11889,-86.68917,180,1/1/48 6:00,TN_ASOS
OQT,OAK RIDGE,36.02304,-84.23362,277,9/1/98 13:08,TN_ASOS
SCX,Oneida Scott,36.4557,-84.5858,462.0712,,TN_ASOS
PHT,Paris,36.3359,-88.3844,173.78418,12/1/10 0:15,TN_ASOS
1M5,Portland,36.5929,-86.4769,243.65582,8/30/16 22:35,TN_ASOS
GZS,Pulaski,35.1537,-87.0568,200.87474,5/9/17 10:35,TN_ASOS
RKW,Rockwood,35.9223,-84.6897,503.0779,4/10/18 10:15,TN_ASOS
SNH,Savannah,35.1703,-88.2167,141.1841,6/14/00 22:00,TN_ASOS
GKT,Sevierville,35.8578,-83.5287,301.31348,7/2/14 14:55,TN_ASOS
SYI,Shelbyville ,35.5594,-86.4425,243.67206,4/17/14 10:35,TN_ASOS
SZY,Sibley ,35.2029,-88.4984,182.92949,5/9/17 10:35,TN_ASOS
MQY,SMYRNA,36.00897,-86.52008,166,1/1/49 0:00,TN_ASOS
FYE,Somerville,35.2061,-89.3929,132.87497,3/6/17 23:35,TN_ASOS
SRB,Sparta,36.0559,-85.5307,307.91287,6/5/12 8:15,TN_ASOS
M91,Springfield,36.5363,-86.9189,211.10802,11/21/14 9:15,TN_ASOS
XNX,Sumner,36.3751,-86.4084,167.91992,8/2/18 10:55,TN_ASOS
THA,Tullahoma,35.38,-86.2467,326.26392,4/9/12 17:15,TN_ASOS
BGF,Winchester,35.17753,-86.06617,296.23715,2/10/12 8:15,TN_ASOS
ABR,ABERDEEN,45.45,-98.42,394.99753,1/1/48 6:00,SD_ASOS
EFC,BELLE FOURCHE,44.73421,-103.86199,966,11/1/92 8:00,SD_ASOS
BRA,BRANDT          ,44.68333,-96.85,520.50226,9/15/03 0:00,SD_ASOS
BKX,BROOKINGS,44.30483,-96.81694,490.28162,12/31/72 18:00,SD_ASOS
2WX,BUFFALO,45.60444,-103.54639,919.06866,6/30/96 19:48,SD_ASOS
9V9,CHAMBERLAIN,43.76667,-99.31833,509.75662,3/31/78 18:00,SD_ASOS
CUT,CUSTER,43.73306,-103.61139,1686.81,5/31/85 19:00,SD_ASOS
RCA,ELLSWORTH AFB,44.14509,-103.10357,977.4339,1/1/48 1:00,SD_ASOS
D07,FAITH,45.03,-102.02,778.5037,5/31/98 19:56,SD_ASOS
HON,HURON,44.38519,-98.22856,384.37134,1/1/47 0:00,SD_ASOS
Y22,LEMMON          ,45.91666,-102.16666,771.00116,12/31/72 18:00,SD_ASOS
LEM,LEMMON US12     ,45.9187,-102.10618,782.37494,12/31/72 18:00,SD_ASOS
MDS,Madison,44.01597,-97.08593,520.79846,3/31/09 19:15,SD_ASOS
MHE,MITCHELL,43.77483,-98.03861,395.72662,12/31/72 18:00,SD_ASOS
MBG,MOBRIDGE,45.54639,-100.40778,515.16785,2/28/77 18:00,SD_ASOS
PHP,PHILIP,44.05,-101.6,671.74414,1/1/73 0:00,SD_ASOS
PIR,PIERRE,44.38269,-100.28597,522.0275,1/1/48 6:00,SD_ASOS
IEN,PINE RIDGE,43.02251,-102.51101,1008.83746,6/30/97 19:52,SD_ASOS
RAP,RAPID CITY,44.04533,-103.05736,964.70654,11/1/50 7:00,SD_ASOS
FSD,SIOUX FALLS,43.57694,-96.75361,428.94208,1/1/48 6:00,SD_ASOS
8D3,SISSETON,45.66889,-96.99139,351.80692,8/31/98 19:56,SD_ASOS
SPF,Spearfish,44.48032,-103.78296,1186.1672,8/1/90 9:00,SD_ASOS
ATY,WATERTOWN,44.91397,-97.15472,525.8819,1/1/73 0:00,SD_ASOS
SFD,Winner,43.3902,-99.8421,612.30695,1/1/00 9:53,SD_ASOS
ICR,WINNER,43.39026,-99.84217,611.9321,7/5/07 8:39,SD_ASOS
YKN,YANKTON,42.91669,-97.38594,389.5385,12/31/72 18:00,SD_ASOS
AIK,Aiken,33.64938,-81.68504,160.9,12/31/08 23:15,SC_ASOS
AQX,Allendale,32.9951,-81.2703,48.706158,11/19/14 16:35,SC_ASOS
AND,ANDERSON CO AIRPORT,34.49458,-82.70939,238,12/31/48 23:00,SC_ASOS
BNL,Barnwell,33.25778,-81.38833,75,12/31/08 23:15,SC_ASOS
ARW,Beaufort,32.41216,-80.63435,3,2/28/09 23:15,SC_ASOS
NBC,BEAUFORT MCAS,32.47741,-80.72316,12,10/1/57 7:00,SC_ASOS
BBP,Bennettsville,34.62171,-79.73436,44.8,4/30/09 23:15,SC_ASOS
CDN,Camden,34.28358,-80.56486,92,12/31/08 23:15,SC_ASOS
CHS,Charleston,32.8986,-80.0405,10.024509,12/31/47 23:00,SC_ASOS
JZI,Charleston Exec,32.70086,-80.00292,5.2,12/31/08 23:15,SC_ASOS
CQW,Cheraw,34.71288,-79.957,72.8,12/31/08 23:15,SC_ASOS
DCM,Chester,34.78933,-81.19578,199.9,1/31/09 23:15,SC_ASOS
CEU,CLEMSON/OCONEE COUNTY,34.67192,-82.88681,272,3/16/00 12:05,SC_ASOS
CAE,COLUMBIA METRO,33.9419,-81.1181,69,1/1/48 5:00,SC_ASOS
CUB,COLUMBIA OWENS DOWNTOWN AIRPORT,33.97199,-80.99377,59,10/31/98 23:53,SC_ASOS
HYW,Conway,33.82849,-79.12218,10.7,12/31/08 23:15,SC_ASOS
UDG,DARLINGTON COUNTY JETPORT,34.45,-79.89,59,2/6/00 10:55,SC_ASOS
FLO,FLORENCE REGIONAL,34.18536,-79.72389,45,12/31/47 23:00,SC_ASOS
GGE,Georgetown,33.31169,-79.31958,11.9,11/30/08 23:15,SC_ASOS
GYH,Greenville,34.75832,-82.37642,291,12/31/48 23:00,SC_ASOS
GMU,GREENVILLE DOWNTOWN,34.84611,-82.34611,319,12/31/47 23:00,SC_ASOS
GSP,GREENVILLE/SPARTANB,34.88472,-82.22389,296,10/31/62 23:00,SC_ASOS
GRD,GREENWOOD COUNTY AIRPORT,34.25,-82.16,192,5/24/00 13:04,SC_ASOS
HVS,Hartsville,34.40308,-80.11922,110.9,4/30/09 23:15,SC_ASOS
HXD,HILTON_HEAD_(AWOS),32.22436,-80.69747,6,7/1/04 5:55,SC_ASOS
CKI,Kingstree,33.71722,-79.85697,20.4,12/31/08 23:15,SC_ASOS
LKR,Lancaster,34.72298,-80.85444,148.1,12/31/08 23:15,SC_ASOS
LUX,Laurens,34.50706,-81.94719,212.4,1/31/09 23:15,SC_ASOS
MNI,Manning,33.58711,-80.20867,31.4,12/31/08 23:15,SC_ASOS
MAO,Marion,34.18117,-79.33472,28,12/31/08 23:15,SC_ASOS
MMT,MCENTIRE ANG BASE,33.92,-80.8,77,3/1/59 3:00,SC_ASOS
MKS,Moncks Corner,33.1855,-80.03625,22.3,1/31/09 23:15,SC_ASOS
LRO,Mount Pleasant,32.89783,-79.78286,3.7,11/30/08 23:15,SC_ASOS
MYR,MYRTLE BEACH(CIV),33.68,-78.93,8,12/31/48 23:00,SC_ASOS
EOE,Newberry,34.30928,-81.63972,173.1,1/31/09 23:15,SC_ASOS
XNO,North Air Force,33.6117,-81.0701,91.32398,11/2/17 6:56,SC_ASOS
CRE,NORTH MYRTLE BEACH,33.81175,-78.72394,10,12/31/48 23:00,SC_ASOS
OGB,ORANGEBURG,33.4568,-80.8595,60,3/31/97 23:53,SC_ASOS
LQK,Pickens County,34.81,-82.7029,308,6/30/00 23:54,SC_ASOS
UZA,ROCK HILL (WAS 29J),34.98783,-81.05717,202,2/1/99 0:54,SC_ASOS
SSC,SHAW AFB/SUMTER,33.97,-80.47,74,12/31/47 23:00,SC_ASOS
SPA,Spartanburg,34.91572,-81.9565,244.1,12/31/47 23:00,SC_ASOS
DYB,Summersville,33.06344,-80.27933,17.1,4/30/09 23:15,SC_ASOS
SMS,Sumter,33.99503,-80.36133,55.5,12/31/08 23:15,SC_ASOS
RBW,Walterboro,32.921,-80.64061,30.8,12/31/08 23:15,SC_ASOS
FDW,Winnsboro,34.31547,-81.10881,175.9,4/30/09 23:15,SC_ASOS
BID,BLOCK ISLAND (AWOS),41.17,-71.58,33,1/1/48 0:00,RI_ASOS
UUU,NEWPORT,41.53244,-71.28154,29,7/1/96 2:53,RI_ASOS
OQU,N. KINGSTON/QUONSET,41.59714,-71.41214,6,12/31/47 23:00,RI_ASOS
SFZ,PAWTUCKET (AWOS),41.92076,-71.49138,134,3/1/92 4:00,RI_ASOS
PVD,PROVIDENCE/GREEN,41.7219,-71.4325,19,1/1/48 5:00,RI_ASOS
WST,Westerly,41.3497,-71.7989,24,7/31/99 23:08,RI_ASOS
JVU,Allentown,40.5703,-75.4883,122,1/31/09 23:00,PA_ASOS
XLL,Allentown,40.57028,-75.48831,122,1/31/09 23:00,PA_ASOS
ABE,ALLENTOWN-BETHLEHEM,40.65083,-75.44917,117,12/31/47 23:00,PA_ASOS
AOO,ALTOONA/BLAIR CO.,40.29636,-78.32003,458,1/31/49 23:00,PA_ASOS
BVI,BEAVER FALLS ARPT,40.77247,-80.39144,382,4/1/84 8:00,PA_ASOS
HMZ,Bedford,40.0853,-78.5122,350.62582,3/18/15 14:55,PA_ASOS
BFD,BRADFORD REGIONAL,41.80307,-78.64012,653,7/1/57 8:00,PA_ASOS
BTP,BUTLER CO. (AWOS),40.77694,-79.94972,380,3/1/92 0:00,PA_ASOS
FIG,CLEARFIELD-LAWRENCE APT(WAS N97),41.04667,-78.41167,462,1/26/00 13:46,PA_ASOS
MQS,Coatesville,39.97897,-75.86547,201.2,10/31/07 23:00,PA_ASOS
DYL,DOYLESTOWN AIRPORT,40.33305,-75.12234,120,7/31/99 23:54,PA_ASOS
DUJ,DU BOIS (AWOS),41.18,-78.9,554,12/31/72 23:00,PA_ASOS
ERI,ERIE INTL AIRPORT,42.08,-80.18,225,1/1/48 5:00,PA_ASOS
RYT,Fountain Dale,39.734,-77.43,274,3/31/05 23:53,PA_ASOS
FKL,FRANKLIN(AWOS),41.37787,-79.86036,469,1/1/68 9:00,PA_ASOS
CXY,HARRISBURG/CAPITAL,40.21714,-76.85147,106,12/31/47 23:00,PA_ASOS
HZL,Hazelton,40.9868,-75.9949,488.81073,1/22/14 12:55,PA_ASOS
IDI,INDIANA/STEWART FLD,40.63222,-79.10553,429,2/28/97 23:15,PA_ASOS
JST,JOHNSTOWN/CAMBRIA,40.31611,-78.83394,696,10/1/48 6:00,PA_ASOS
LNS,LANCASTER,40.12028,-76.29444,123,7/1/73 18:00,PA_ASOS
LBE,LATROBE/WESTMORLAND,40.27594,-79.4048,361,2/1/73 6:00,PA_ASOS
22N,Lehighton,40.8095,-75.7615,158.07216,11/19/15 7:55,PA_ASOS
GKJ,MEADVILLE,41.62653,-80.21472,428,5/31/97 23:24,PA_ASOS
MDT,MIDDLETOWN/OLMSTED,40.19361,-76.76333,94,12/31/47 23:00,PA_ASOS
MPO,MT POCONO,41.13889,-75.37944,577,9/30/99 23:56,PA_ASOS
MUI,MUIR AAF/INDIANTOWN,40.43483,-76.56933,149,9/1/78 7:00,PA_ASOS
UCP,New Castle,41.02534,-80.41337,326.7,12/31/06 23:08,PA_ASOS
CKZ,Perkasie,40.38919,-75.29047,165.06905,8/24/15 7:35,PA_ASOS
PHL,PHILADELPHIA INTL,39.86833,-75.23111,9,12/31/47 23:00,PA_ASOS
PNE,PHILADELPHIA NE,40.0789,-75.01335,37,12/31/48 23:00,PA_ASOS
LOM,PHILADELPHIA/WINGS FIELD,40.13756,-75.26514,92,1/31/03 23:00,PA_ASOS
PSB,PHILIPSBURG/MID-ST,40.88439,-78.08734,594,7/1/80 6:00,PA_ASOS
AGC,PITTSBURGH/ALLEGHEN,40.35472,-79.92167,382,12/31/47 23:00,PA_ASOS
PIT,PITTSBURGH INTL,40.49147,-80.23286,373,5/1/48 7:00,PA_ASOS
PTW,POTTSTOWN LIMERICK AIRPORT,40.23833,-75.55722,94,3/31/99 23:54,PA_ASOS
UKT,QUAKERTOWN_ARPT,40.43521,-75.38193,160,6/30/03 23:00,PA_ASOS
RDG,READING/SPAATZ FLD,40.3785,-75.96525,105,12/31/47 23:00,PA_ASOS
RVL,Reedsville,40.6774,-77.6268,246.76106,5/14/19 10:55,PA_ASOS
SEG,SELINSGROVE,40.82056,-76.86389,137,1/31/49 23:00,PA_ASOS
2G9,Somerset,40.0389,-79.015,679.9938,5/22/16 0:55,PA_ASOS
UNV,STATE COLLEGE,40.85,-77.85,378,7/1/80 6:00,PA_ASOS
OYM,St Marys ,41.4125,-78.5026,579.1905,2/2/18 9:26,PA_ASOS
THV,THOMASVILLE/YORK,39.917,-76.87303,148,7/1/82 10:00,PA_ASOS
AFJ,WASHINGTON (AWOS),40.13649,-80.2902,361,5/1/89 9:00,PA_ASOS
N38,Wellsboro,41.7279,-77.3965,572.8793,8/20/14 9:15,PA_ASOS
OQN,West Chester,39.9889,-75.5803,139.3616,2/27/19 13:15,PA_ASOS
AVP,WILKES-BARRE/SCRANT,41.33347,-75.72267,289,12/31/48 23:00,PA_ASOS
IPT,WILLIAMSPORT,41.24333,-76.92167,160,7/1/48 6:00,PA_ASOS
NXX,WILLOW GROVE NAS,40.2,-75.15,110,1/31/03 23:00,PA_ASOS
AST,ASTORIA/CLATSOP,46.1569,-123.8825,7,4/1/49 8:00,OR_ASOS
UAO,AURORA STATE,45.25,-122.77,60,12/1/80 14:00,OR_ASOS
BKE,BAKER MUNICIPAL,44.83735,-117.80914,1027,1/1/48 2:00,OR_ASOS
BDN,Bend,44.09456,-121.20022,1054.6,6/1/09 2:15,OR_ASOS
BOK,Brookings,42.07456,-124.29009,139.9,9/1/05 4:56,OR_ASOS
4BK,BROOKINGS,42.05,-124.28333,24,9/1/05 4:56,OR_ASOS
BNO,BURNS MUNI (AMO,43.595,-118.9564,1271,1/1/73 2:00,OR_ASOS
CZK,CASCADE LOCKS STATE,45.67694,-121.87889,46,1/1/73 9:00,OR_ASOS
CVO,CORVALLIS MUNI AWOS,44.49711,-123.28953,75,1/1/73 16:00,OR_ASOS
77S,Creswell Hobby Field,43.9308,-123.0067,162.28636,7/3/19 15:35,OR_ASOS
EUG,EUGENE/MAHLON SWEET,44.12458,-123.21197,114,1/1/48 8:00,OR_ASOS
6S2,Florence,43.98282,-124.11137,15.5,5/2/10 19:55,OR_ASOS
4S1,Gold Beach,42.4153,-124.42492,6,4/30/10 13:19,OR_ASOS
3S8,Grants Pass,42.509,-123.3886,337.9127,4/14/17 13:15,OR_ASOS
HRI,HERMISTON,45.82583,-119.26111,195,2/1/99 2:53,OR_ASOS
4S2,Hood River,45.6726,-121.5365,186.21645,4/22/17 13:15,OR_ASOS
GCD,John Day,44.40417,-118.9625,1126.8,12/1/06 2:10,OR_ASOS
LMT,KLAMATH FALLS/KINGS,42.14694,-121.72417,1247,1/1/48 2:00,OR_ASOS
LGD,LA GRANDE (AWOS),45.29022,-118.00711,827,1/1/49 1:00,OR_ASOS
LKV,LAKEVIEW (AWOS),42.16111,-120.39908,1441,3/1/92 5:00,OR_ASOS
S33,Madras City,44.6702,-121.1551,736.2697,4/4/17 12:15,OR_ASOS
MMV,MCMINNVILLE MUNICIPAL AIRPORT,45.19455,-123.13607,48,2/1/97 2:53,OR_ASOS
MEH,MEACHAM (AMOS),45.51139,-118.42472,1236,1/1/48 2:00,OR_ASOS
MFR,MEDFORD/JACKSON CO.,42.3811,-122.8722,405,1/1/48 8:00,OR_ASOS
JNW,NEWPORT,44.58333,-124.06667,48,1/1/73 3:00,OR_ASOS
ONP,NEWPORT MUNICIP,44.58036,-124.05792,48,8/1/49 3:00,OR_ASOS
OTH,North Bend,43.41946,-124.24374,2.1607084,5/1/49 9:00,OR_ASOS
ONO,ONTARIO MUNICIPAL,44.02056,-117.01278,668,1/1/48 1:00,OR_ASOS
PDT,PENDLETON MUNICIPAL,45.69506,-118.84144,456,1/1/48 2:00,OR_ASOS
HIO,PORTLAND/HILLSBORO,45.54061,-122.95019,62,1/1/73 9:00,OR_ASOS
PDX,PORTLAND INTL ARPT,45.59083,-122.60028,12,1/1/48 2:00,OR_ASOS
